stopOrGo,arrowDirection,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,mainBlocks.thisRepN,mainBlocks.thisTrialN,mainBlocks.thisN,mainBlocks.thisIndex,trialsBlock.thisRepN,trialsBlock.thisTrialN,trialsBlock.thisN,trialsBlock.thisIndex,thisRow.t,notes,Fix_onset_coreTime,Fix_onset_datetime,Blank_onset_coreTime,Blank_onset_datetime,PracticeTrial_onset_coreTime,PracticeTrial_onset_datetime,SSD_used,feedback_onset_coreTime,feedback_onset_datetime,FixationOnTime,arrowDir,response,rt,correct,trial_num,PracticeFuel_onset_coreTime,PracticeFuel_onset_datetime,Block1_Trial_onset_coreTime,Block1_Trial_onset_datetime,block_num,Block1_Fuel_onset_coreTime,Block1_Fuel_onset_datetime,participant,session,doPractice,date,coreTime,
go,left,0,0,0,2,,,,,,,,,,,11.214430699998047,2025-03-13_17:03:08.093760,13.53132310003275,2025-03-13_17:03:10.411309,14.037593599990942,2025-03-13_17:03:10.917728,0,14.549690900021233,2025-03-13_17:03:11.429494,2.3126020766206143,left,left,0.4693838999955915,True,1,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,left,0,1,1,0,,,,,,,,,,,15.0543328000349,2025-03-13_17:03:11.934361,17.22458119998919,2025-03-13_17:03:14.104413,17.732694100006483,2025-03-13_17:03:14.612426,0,18.278273200034164,2025-03-13_17:03:15.157475,2.167555570794673,left,left,0.5022761999862269,True,2,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,left,0,2,2,4,,,,,,,,,,,18.782597600016743,2025-03-13_17:03:15.662466,20.781876900000498,2025-03-13_17:03:17.661821,21.290286000003107,2025-03-13_17:03:18.169987,0,21.794883600028697,2025-03-13_17:03:18.674989,1.9954171162708376,left,left,0.4724665000103414,True,3,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
stop,right,0,3,3,7,,,,,,,,,,,22.29979540000204,2025-03-13_17:03:19.179999,23.900616400002036,2025-03-13_17:03:20.780043,24.407849800016265,2025-03-13_17:03:21.288042,0.2,24.945185200020205,2025-03-13_17:03:21.824540,1.5987638587703406,right,right,0.4909664999577217,False,4,24.628635200031567,2025-03-13_17:03:21.508164,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,right,0,4,4,1,,,,,,,,,,,25.4505142000271,2025-03-13_17:03:22.330555,27.696646000025794,2025-03-13_17:03:24.576107,28.202170000004116,2025-03-13_17:03:25.081896,0,29.078343200031668,2025-03-13_17:03:25.958027,2.24355937620886,right,right,0.8404069000389427,True,5,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,right,0,5,5,5,,,,,,,,,,,29.583501800021622,2025-03-13_17:03:26.463027,31.307330000039656,2025-03-13_17:03:28.187144,31.813003199989907,2025-03-13_17:03:28.692519,0,32.428524299990386,2025-03-13_17:03:29.307866,1.7194530915528303,right,right,0.573482200037688,True,6,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
stop,left,0,6,6,6,,,,,,,,,,,32.934713200025726,2025-03-13_17:03:29.814805,35.06454849999864,2025-03-13_17:03:31.944605,35.57357760000741,2025-03-13_17:03:32.453744,0.15000000000000002,36.34495480003534,2025-03-13_17:03:33.224774,2.1278782789145323,left,down,0.725626600033138,True,7,35.744957700022496,2025-03-13_17:03:32.625098,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,right,0,7,7,3,,,,,,,,,,,36.850339900003746,2025-03-13_17:03:33.730533,39.008062300039455,2025-03-13_17:03:35.887645,39.51391640002839,2025-03-13_17:03:36.393318,0,40.81161999999313,2025-03-13_17:03:37.691802,2.154040072168388,right,None,None,False,8,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
stop,right,1,0,8,7,,,,,,,,,,,41.31660499999998,2025-03-13_17:03:38.196023,42.882037300034426,2025-03-13_17:03:39.761941,43.39145470003132,2025-03-13_17:03:40.271504,0.2,44.67843020003056,2025-03-13_17:03:41.558673,1.5626090400555108,right,None,None,False,9,43.611843599996064,2025-03-13_17:03:40.491383,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,right,1,1,9,1,,,,,,,,,,,45.18552150001051,2025-03-13_17:03:42.065603,46.72632080002222,2025-03-13_17:03:43.605704,47.23503270000219,2025-03-13_17:03:44.115022,0,48.52841820003232,2025-03-13_17:03:45.408020,1.5382702939410209,right,None,None,False,10,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,left,1,2,10,0,,,,,,,,,,,49.03491700004088,2025-03-13_17:03:45.914834,50.56772799999453,2025-03-13_17:03:47.447738,51.07385190000059,2025-03-13_17:03:47.953645,0,52.36164459999418,2025-03-13_17:03:49.241392,1.5309691274009385,left,None,None,False,11,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,left,1,3,11,2,,,,,,,,,,,52.866008699988015,2025-03-13_17:03:49.746055,55.329491000040434,2025-03-13_17:03:52.209073,55.835842000029515,2025-03-13_17:03:52.715940,0,57.12815760000376,2025-03-13_17:03:54.007683,2.460145614093326,left,None,None,False,12,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,right,1,4,12,5,,,,,,,,,,,57.632187100010924,2025-03-13_17:03:54.511611,59.80590400000801,2025-03-13_17:03:56.685848,60.31500430003507,2025-03-13_17:03:57.194776,0,61.61141840001801,2025-03-13_17:03:58.491275,2.171392998051065,right,None,None,False,13,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,right,1,5,13,3,,,,,,,,,,,62.116444000042975,2025-03-13_17:03:58.996371,63.770322900032625,2025-03-13_17:04:00.649963,64.2796740999911,2025-03-13_17:04:01.159775,0,65.5782223000424,2025-03-13_17:04:02.457820,1.6512427197589097,right,None,None,False,14,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,left,1,6,14,4,,,,,,,,,,,66.08390100003453,2025-03-13_17:04:02.963513,68.40814600000158,2025-03-13_17:04:05.288185,68.91810810001334,2025-03-13_17:04:05.797729,0,70.21161830000347,2025-03-13_17:04:07.091316,2.3210683177366493,left,None,None,False,15,,,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
stop,left,1,7,15,6,,,,,,,,,,,70.71612140000798,2025-03-13_17:04:07.596142,72.55761730001541,2025-03-13_17:04:09.437684,73.06646560004447,2025-03-13_17:04:09.946706,0.15000000000000002,74.36147020000499,2025-03-13_17:04:11.240938,1.8385234021574277,left,None,None,False,16,73.2448837000411,2025-03-13_17:04:10.124297,,,,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
go,right,,,,,0,0,0,0,0,0,0,3,,,859.5155251999968,2025-03-13_17:17:16.395206,861.6561575999949,2025-03-13_17:17:18.536369,,,0,,,2.13846976996995,right,right,0.5987968000117689,True,17,,,862.1630915999995,2025-03-13_17:17:19.043044,1,,,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
stop,left,,,,,0,0,0,0,0,1,1,6,,,862.7949447000283,2025-03-13_17:17:19.674768,864.953959800012,2025-03-13_17:17:21.834103,,,0.2,,,2.1555884602745348,left,left,0.411617900012061,False,18,,,865.4627764000325,2025-03-13_17:17:22.342984,1,865.6946377000422,2025-03-13_17:17:22.574223,305916,001,True,2025-03-13_170303.199125,1969-12-31_160006.319318,
,,,,,,,,,,,,,,,,865.911293000041,2025-03-13_17:17:22.791088,868.072613700002,2025-03-13_17:17:24.952224,,,,,,,,,,,,,,,,,,,,,,,,
